id,id_categoria,id_marca,subcategoria,categoria_proveedor,codigo_proveedor,nombre,descripcion_general,precio_base,stock,disponible_a_pedido,garantia,flete,imagen_url,imagen_path,created_at,updated_at
682,1,32,,cpu ci7 14xxx s1700,cpili714700kf,Intel Core i7-14700KF,"Versión desbloqueada (K) y sin gráficos integrados (F) de la arquitectura Raptor Lake Refresh. Diseñado para máximo rendimiento mediante overclocking manual, cuenta con 8 P-cores y 12 E-cores, ideal para estaciones de trabajo y gaming de alta gama que requieren una GPU externa.",350.00,12,f,,,,,2026-04-15 17:02:12.155912,2026-04-16 17:09:53.126569
684,1,32,,cpu ci9 12xxx s1700,cpili912900kf,Intel Core i9-12900KF,"Versión desbloqueada (K) y sin gráficos integrados (F) de la arquitectura Alder Lake. Cuenta con 8 P-cores y 8 E-cores, ofreciendo una base potente para estaciones de trabajo de alto rendimiento que utilizan tarjetas gráficas dedicadas.",389.00,13,f,,,,,2026-04-15 17:02:12.158832,2026-04-16 17:14:00.854385
652,1,28,,cpu amd ryzen 5 sam4 5xxx,cpam4r55500,AMD Ryzen 5 5500,"CPU de escritorio fabricado en 7nm con 16 MB de caché L3. Al utilizar un diseño monolítico, optimiza la latencia interna pero está limitado a conectividad PCIe 3.0. Es una solución de alto rendimiento para multitarea y juegos que maximiza la eficiencia energética en la plataforma AM4.",90.15,21,f,,,,,2026-04-15 17:02:12.103873,2026-04-16 16:35:11.343973

492,2,24,,mb socket am4 amd,mbara520m-hdv,ASRock A520M-HDV,"Placa base compacta y económica diseñada para tareas de oficina, estudio o gaming ligero. Utiliza el chipset A520, que no permite overclocking del procesador. Es una placa de '"fase de energía básica'", ideal para CPUs de hasta 65W o 95W. Su diseño es muy minimalista, enfocándose en la estabilidad fundamental.",46.65,21,f,,,,,2026-04-15 17:02:11.835766,2026-04-16 17:40:39.074638
493,2,24,,mb socket am4 amd gaming,mbarb550pg4ac,ASRock B550 Phantom Gaming 4/ac,"Placa base ATX de gama media con chipset B550. Incluye soporte para PCIe 4.0 tanto en la ranura de expansión principal como en el slot M.2 principal. Cuenta con una fase de energía (VRM) mejorada, disipadores de calor para los componentes críticos y conectividad Wi-Fi (ac) integrada. Es una placa versátil diseñada para usuarios que buscan un equilibrio entre rendimiento, expansión y durabilidad.",79.50,21,f,,,,,2026-04-15 17:02:11.837783,2026-04-16 17:42:41.868489
500,2,24,,mb socket am5 amd,mbarb850mxwfr20,ASRock B850M-X WiFi R2.0,"Es una plataforma Micro-ATX compacta que no sacrifica rendimiento. Incluye soporte para tecnologías de última generación (Gen5 en SSD y PCIe). Sus fases de poder con Dr.MOS garantizan una entrega de energía estable, y la inclusión de WiFi de alta velocidad la libera de la dependencia del cableado Ethernet, ideal para reorganizar puestos de trabajo en Mente Oasis sin complicaciones.",114.50,21,f,,,,,2026-04-15 17:02:11.850323,2026-04-16 18:10:18.319183

700,3,34,,mem ddr4 3200 pc4-25600,me16xp320sgambk,Memoria RAM ADATA XPG GAMMIX D20 16GB DDR4 3200MHz,"La XPG GAMMIX D20 presenta un diseño elegante y sobrio en color negro mate, ideal para configuraciones que no requieren iluminación. Con una velocidad de 3200MHz y latencia CL16, ofrece un rendimiento optimizado para gaming y edición. Su disipador térmico de metal garantiza una excelente disipación de calor. Es totalmente compatible con plataformas Intel y AMD, y soporta perfiles XMP 2.0 para un overclocking sencillo y estable a 1.35V.",127.00,21,f,,,,,2026-04-15 17:02:12.188941,2026-05-04 10:14:33.721254
773,3,14,,mem ddr4 3200 pc4-25600,me16tet32un4c16,Memoria RAM Kingston FURY Beast RGB 16GB DDR5 5600MT/s,Memoria RAM de alto rendimiento con tecnología Plug N Play para overclocking automático. Cuenta con certificación Intel XMP 3.0 y AMD EXPO. Incluye disipador de calor de bajo perfil y efectos de iluminación RGB personalizables mediante el software Kingston FURY CTRL.,114.00,21,f,,,,,2026-04-15 17:02:12.314393,2026-05-04 10:11:38.369557
768,3,8,,mem ddr5 5600 pc5-44800,me16tfv5600hc36,Memoria RAM TeamGroup T-Force Vulcan DDR5 16GB 5600MHz,"La T-Force Vulcan DDR5 de TeamGroup está diseñada para entusiastas y gamers que buscan estabilidad en la nueva arquitectura DDR5. Fabricada con una aleación de aluminio reforzado, su disipador térmico superior garantiza un enfriamiento eficiente bajo carga. Cuenta con tecnología On-die ECC para la corrección de errores, soporte para perfiles Intel XMP 3.0 de un solo clic y un circuito integrado de gestión de energía (PMIC) que asegura una entrega de voltaje estable a 1.2V.",231.86,21,f,,,,,2026-04-15 17:02:12.304763,2026-05-04 10:16:38.129058

45,4,7,,disco duro 3.5 sata,hdist8000dm004,Disco Duro Interno Seagate BarraCuda 8TB (ST8000DM004),"Unidad de disco duro mecánica de alta capacidad diseñada para computadoras de escritorio y almacenamiento masivo. El modelo ST8000DM004 cuenta con una velocidad de rotación de 5400 RPM y una generosa memoria caché de 256MB, optimizando el rendimiento en la gestión de grandes volúmenes de datos. Utiliza la tecnología de grabación magnética en capas (SMR) para maximizar el espacio, siendo ideal para bibliotecas multimedia, archivos de video y copias de seguridad de largo plazo.",221.00,21,f,,,,,2026-04-15 17:02:11.226073,2026-05-04 10:19:19.933341
4,4,2,,ssd 2.5 sata,ssd2tbwm100,"Disco Sólido SSD BIWIN M100 2TB SATA III 2.5'"","El SSD BIWIN M100 de 2TB es una solución de almacenamiento de alta capacidad que transforma la velocidad de respuesta de cualquier sistema. Al utilizar la interfaz SATA III de 6 Gb/s, ofrece tiempos de arranque mucho más rápidos y transferencias de archivos ágiles en comparación con los discos mecánicos tradicionales. Su diseño ultra delgado de 7mm lo hace compatible con una amplia gama de laptops y computadoras de escritorio. Fabricado con componentes de alta calidad para garantizar la integridad de los datos y una larga vida útil.",170.00,6,f,,,,,2026-04-15 17:02:11.13344,2026-05-04 10:20:44.945581
44,4,6,,ssd m.2 nvme,ssdwds400t4x0e,SSD Western Digital WD_BLACK SN7100 4TB NVMe PCIe Gen4,"El WD_BLACK SN7100 de 4TB es una unidad de estado sólido NVMe de alto rendimiento diseñada para maximizar la velocidad en plataformas modernas. Con velocidades de lectura secuencial de hasta 7250 MB/s, reduce drásticamente los tiempos de carga y mejora la respuesta del sistema bajo cargas de trabajo pesadas. Utiliza la interfaz PCIe Gen4 x4 para ofrecer una eficiencia energética superior y una durabilidad térmica optimizada, siendo compatible con computadoras de escritorio, laptops de alto rendimiento y la expansión de almacenamiento de PlayStation 5.",486.00,10,f,,,,,2026-04-15 17:02:11.223095,2026-05-04 10:22:31.121379

275,5,24,,"video, pci exp radeon gam",vd16arrx907xtsd,ASRock AMD Radeon RX 9070 XT Steel Legend Dark 16GB,"La Radeon RX 9070 XT Steel Legend Dark combina la potencia de la arquitectura RDNA 4 con un diseño térmico de triple ventilador para un rendimiento excepcional en 4K y 1440p. Cuenta con soporte nativo para PCIe 5.0, optimizando el ancho de banda para las plataformas más modernas. Su edición '"Dark'" ofrece una estética elegante sin excesos de iluminación, centrada en la durabilidad con componentes de grado militar y una placa posterior de metal que evita la flexión del PCB. Compatible con tecnologías AMD FSR 3.x y trazado de rayos avanzado",767.00,10,f,,,,,2026-04-15 17:02:11.560314,2026-05-04 10:25:21.206258
285,5,17,,"video, pci exp nvidia gam",vd6gasrtx3050do,ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6,"La ASUS Dual GeForce RTX 3050 OC Edition de 6GB ofrece una entrada sólida al gaming con Ray Tracing y DLSS. Esta versión se destaca por su increíble eficiencia energética, con un TDP de apenas 70W que, en muchos casos, no requiere conectores de alimentación externa adicionales, alimentándose directamente de la ranura PCIe. Su diseño de dos ventiladores IP5X resistentes al polvo garantiza una refrigeración silenciosa y duradera, siendo ideal para gabinetes compactos (SFF) gracias a su longitud de solo 201 mm.",216.00,5,f,,,,,2026-04-15 17:02:11.584162,2026-05-04 10:27:04.22807
303,5,25,,"video, pci exp nvidia gam",vd8ggbrtx506tem,Gigabyte GeForce RTX 5060 Ti Eagle Max OC 8G,"La Gigabyte RTX 5060 Ti Eagle Max OC introduce la revolucionaria memoria GDDR7, ofreciendo un ancho de banda significativamente superior para juegos de última generación. Basada en la arquitectura Blackwell, esta tarjeta incluye núcleos Tensor de 4ta generación y núcleos RT de 3ra generación para un rendimiento de Ray Tracing sin precedentes en su gama. El sistema de enfriamiento WINDFORCE cuenta con tres ventiladores de giro alterno y tubos de calor de cobre de contacto directo, asegurando temperaturas bajas incluso bajo carga máxima. Soporta la tecnología DLSS 4 para una generación de cuadros aún más fluida.",478.00,9,f,,,,,2026-04-15 17:02:11.619177,2026-05-04 10:28:34.017964

239,6,24,,"cases, fuente para gaming",psarpg-1000g,ASRock Phantom Gaming PG-1000G 1000W 80+ Gold,"La ASRock PG-1000G es una fuente de alimentación de alto rendimiento con certificación 80 PLUS Gold, que garantiza una eficiencia energética superior al 90%. Diseñada bajo el estándar Intel ATX 3.0, está preparada para las exigencias de las GPUs de próxima generación gracias a su conector nativo PCIe 5.0 (12VHPWR). Su diseño totalmente modular permite utilizar solo los cables necesarios, mejorando el flujo de aire dentro del chasis. Equipada con un ventilador de 135 mm con rodamientos dinámicos fluidos (FDB) y capacitores 100% japoneses de 105°C para una estabilidad y durabilidad extremas.",139.00,7,f,,,,,2026-04-15 17:02:11.492524,2026-05-04 10:30:44.136603
251,6,17,,"cases, fuente para gaming",psasap-750g,ASUS Prime 750W Gold (AP-750G),"La ASUS Prime 750W Gold aporta eficiencia y durabilidad al corazón de tu PC. Este modelo es totalmente compatible con el estándar ATX 3.0, incluyendo un cable nativo de 16 pines (12VHPWR) optimizado para las tarjetas de video de alto rendimiento más recientes. Su diseño totalmente modular facilita un ensamble limpio, mientras que sus ventiladores con rodamientos de doble bola aseguran una vida útil prolongada y una refrigeración silenciosa. Con la certificación 80 Plus Gold, garantiza una eficiencia del 90% en cargas típicas, reduciendo el calor y el consumo energético.",81.00,21,f,,,,,2026-04-15 17:02:11.514629,2026-05-04 10:31:53.610896
261,6,25,,"cases, fuente para gaming",psgbp550ssice,Gigabyte P550SS ICE 550W 80 Plus Silver (White),"La Gigabyte P550SS ICE es una fuente de alimentación diseñada para quienes buscan estilo y eficiencia. Su acabado '"ICE'" en color blanco integral, incluyendo cables planos del mismo tono, la hace perfecta para configuraciones temáticas. Cuenta con una certificación 80 Plus Silver que asegura una eficiencia energética de hasta el 89%. Incorpora un ventilador de 120mm con control inteligente (Silent Hydraulic Bearing) para minimizar el ruido y múltiples protecciones de seguridad (OVP, OPP, SCP, etc.) para salvaguardar tus componentes. Es una opción confiable para PCs de gama de entrada y media con procesadores modernos y GPUs de consumo moderado.",34.00,21,f,,,,,2026-04-15 17:02:11.530986,2026-05-04 10:32:55.22419

161,7,17,,cases sin fuente p/gamers,csasa31pwtargb,ASUS Prime AP201 (A31 Plus) Mesh White,"El ASUS Prime AP201 es un avance en el diseño de chasis micro-ATX, ofreciendo una plataforma de 33 litros con paneles de malla metálica de alta porosidad que actúan como filtros de aire y permiten ver sutilmente los componentes internos. A pesar de su tamaño compacto, admite fuentes de poder ATX estándar de hasta 180 mm, tarjetas gráficas de hasta 338 mm y sistemas de enfriamiento líquido de 360 mm. Su diseño de paneles desmontables sin herramientas facilita el acceso y el mantenimiento, mientras que el acabado en blanco mate le otorga una estética premium y minimalista ideal para cualquier espacio de trabajo o gaming.",74.80,21,f,,,,,2026-04-15 17:02:11.387022,2026-05-04 10:37:34.840891
160,7,17,,cases sin fuente p/gamers,csasa31pbkargb,Case MSI MAG PANO M100R PZ White - Vidrio Templado 270°,"El MSI MAG PANO M100R PZ ofrece una vista panorámica espectacular de 270 grados gracias a sus paneles de vidrio templado frontales y laterales integrados. Diseñado específicamente para placas base con conectores traseros (Project Zero), permite una gestión de cables ultra limpia. Incluye un concentrador de ventiladores ARGB-PWM para controlar la iluminación y velocidad de forma centralizada. Su chasis optimizado permite instalar tarjetas de video de gran tamaño y sistemas de enfriamiento líquido de hasta 360mm en la parte superior, garantizando un flujo de aire eficiente con una estética minimalista y moderna.",74.70,21,f,,,,,2026-04-15 17:02:11.385064,2026-05-04 10:36:08.406313
174,7,14,,cases atx ver2.0 s/fuente,csm45bkte1319g,Teros TE-1319G Mid Tower + Fuente 450W,"El Teros TE-1319G es un gabinete Mid Tower versátil diseñado para usuarios que buscan una estética gaming a un precio accesible. Este modelo incluye una fuente de alimentación de 450W ideal para configuraciones de entrada. Su panel frontal cuenta con acabados modernos y conectividad rápida USB 3.0. El panel lateral transparente permite lucir los componentes internos, mientras que su estructura interna admite placas base ATX estándar y ofrece espacio suficiente para una gestión de cables básica. Es la solución integral perfecta para armados de oficina, estudio o gaming casual.",30.80,21,f,,,,,2026-04-15 17:02:11.414595,2026-05-04 10:38:47.083226
